,scientific_name,park_name,total_observations,category,common_names,conservation_status
8343,Euphorbia mercurialina,Yosemite National Park,171,Vascular Plant,Mercury Spurge,
8344,Euphorbia pubentissima,Bryce National Park,67,Vascular Plant,Dogbane-Leaved Spurge,
8345,Euphorbia pubentissima,Great Smoky Mountains National Park,67,Vascular Plant,Dogbane-Leaved Spurge,
8346,Euphorbia pubentissima,Yellowstone National Park,257,Vascular Plant,Dogbane-Leaved Spurge,
8347,Euphorbia pubentissima,Yosemite National Park,148,Vascular Plant,Dogbane-Leaved Spurge,
8348,Euphorbia purpurea,Bryce National Park,88,Vascular Plant,Glade Spurge,Species of Concern
8349,Euphorbia purpurea,Great Smoky Mountains National Park,67,Vascular Plant,Glade Spurge,Species of Concern
8350,Euphorbia purpurea,Yellowstone National Park,213,Vascular Plant,Glade Spurge,Species of Concern
8351,Euphorbia purpurea,Yosemite National Park,143,Vascular Plant,Glade Spurge,Species of Concern
8352,Eurhynchium hians,Bryce National Park,112,Nonvascular Plant,Eurhynchium Moss,
8353,Eurhynchium hians,Great Smoky Mountains National Park,46,Nonvascular Plant,Eurhynchium Moss,
8354,Eurhynchium hians,Yellowstone National Park,244,Nonvascular Plant,Eurhynchium Moss,
8355,Eurhynchium hians,Yosemite National Park,165,Nonvascular Plant,Eurhynchium Moss,
8356,Eurhynchium pulchellum,Bryce National Park,102,Nonvascular Plant,Eurhynchium Moss,
8357,Eurhynchium pulchellum,Great Smoky Mountains National Park,90,Nonvascular Plant,Eurhynchium Moss,
8358,Eurhynchium pulchellum,Yellowstone National Park,259,Nonvascular Plant,Eurhynchium Moss,
8359,Eurhynchium pulchellum,Yosemite National Park,158,Nonvascular Plant,Eurhynchium Moss,
8360,Eurybia chlorolepis,Bryce National Park,95,Vascular Plant,Mountain Aster,
8361,Eurybia chlorolepis,Great Smoky Mountains National Park,91,Vascular Plant,Mountain Aster,
8362,Eurybia chlorolepis,Yellowstone National Park,216,Vascular Plant,Mountain Aster,
8363,Eurybia chlorolepis,Yosemite National Park,113,Vascular Plant,Mountain Aster,
8364,Eurybia conspicua,Bryce National Park,96,Vascular Plant,"Eastern Showy Aster, Western Showy Aster",
8365,Eurybia conspicua,Great Smoky Mountains National Park,54,Vascular Plant,"Eastern Showy Aster, Western Showy Aster",
8366,Eurybia conspicua,Yellowstone National Park,243,Vascular Plant,"Eastern Showy Aster, Western Showy Aster",
8367,Eurybia conspicua,Yosemite National Park,147,Vascular Plant,"Eastern Showy Aster, Western Showy Aster",
8368,Eurybia divaricata,Bryce National Park,90,Vascular Plant,White Wood Aster,
8369,Eurybia divaricata,Great Smoky Mountains National Park,97,Vascular Plant,White Wood Aster,
8370,Eurybia divaricata,Yellowstone National Park,227,Vascular Plant,White Wood Aster,
8371,Eurybia divaricata,Yosemite National Park,144,Vascular Plant,White Wood Aster,
8372,Eurybia integrifolia,Bryce National Park,66,Vascular Plant,Thickstem Aster,
8373,Eurybia integrifolia,Great Smoky Mountains National Park,76,Vascular Plant,Thickstem Aster,
8374,Eurybia integrifolia,Yellowstone National Park,232,Vascular Plant,Thickstem Aster,
8375,Eurybia integrifolia,Yosemite National Park,129,Vascular Plant,Thickstem Aster,
8376,Eurybia macrophylla,Bryce National Park,81,Vascular Plant,Bigleaf Aster,
8377,Eurybia macrophylla,Great Smoky Mountains National Park,76,Vascular Plant,Bigleaf Aster,
8378,Eurybia macrophylla,Yellowstone National Park,234,Vascular Plant,Bigleaf Aster,
8379,Eurybia macrophylla,Yosemite National Park,130,Vascular Plant,Bigleaf Aster,
8380,Eurybia merita,Bryce National Park,108,Vascular Plant,Subalpine Aster,
8381,Eurybia merita,Great Smoky Mountains National Park,87,Vascular Plant,Subalpine Aster,
8382,Eurybia merita,Yellowstone National Park,250,Vascular Plant,Subalpine Aster,
8383,Eurybia merita,Yosemite National Park,153,Vascular Plant,Subalpine Aster,
8384,Eurybia surculosa,Bryce National Park,95,Vascular Plant,Creeping Aster,
8385,Eurybia surculosa,Great Smoky Mountains National Park,73,Vascular Plant,Creeping Aster,
8386,Eurybia surculosa,Yellowstone National Park,226,Vascular Plant,Creeping Aster,
8387,Eurybia surculosa,Yosemite National Park,131,Vascular Plant,Creeping Aster,
8388,Eurycea,Bryce National Park,81,Amphibian,Brook Salamanders,
8389,Eurycea,Great Smoky Mountains National Park,88,Amphibian,Brook Salamanders,
8390,Eurycea,Yellowstone National Park,218,Amphibian,Brook Salamanders,
8391,Eurycea,Yosemite National Park,147,Amphibian,Brook Salamanders,
8392,Eurycea bislineata,Bryce National Park,73,Amphibian,"Northern Two-Lined Salamander, Two-Lined Salamander",
8393,Eurycea bislineata,Great Smoky Mountains National Park,115,Amphibian,"Northern Two-Lined Salamander, Two-Lined Salamander",
8394,Eurycea bislineata,Yellowstone National Park,238,Amphibian,"Northern Two-Lined Salamander, Two-Lined Salamander",
8395,Eurycea bislineata,Yosemite National Park,158,Amphibian,"Northern Two-Lined Salamander, Two-Lined Salamander",
8396,Eurycea cirrigera,Bryce National Park,95,Amphibian,Southern Two-Lined Salamander,
8397,Eurycea cirrigera,Great Smoky Mountains National Park,104,Amphibian,Southern Two-Lined Salamander,
8398,Eurycea cirrigera,Yellowstone National Park,279,Amphibian,Southern Two-Lined Salamander,
8399,Eurycea cirrigera,Yosemite National Park,162,Amphibian,Southern Two-Lined Salamander,
8400,Eurycea guttolineata,Bryce National Park,105,Amphibian,Three-Lined Salamander,
8401,Eurycea guttolineata,Great Smoky Mountains National Park,49,Amphibian,Three-Lined Salamander,
8402,Eurycea guttolineata,Yellowstone National Park,218,Amphibian,Three-Lined Salamander,
8403,Eurycea guttolineata,Yosemite National Park,170,Amphibian,Three-Lined Salamander,
8404,Eurycea junaluska,Bryce National Park,121,Amphibian,Junaluska Salamander,
8405,Eurycea junaluska,Great Smoky Mountains National Park,46,Amphibian,Junaluska Salamander,
8406,Eurycea junaluska,Yellowstone National Park,262,Amphibian,Junaluska Salamander,
8407,Eurycea junaluska,Yosemite National Park,145,Amphibian,Junaluska Salamander,
8408,Eurycea longicauda longicauda,Bryce National Park,122,Amphibian,Longtail Salamander,
8409,Eurycea longicauda longicauda,Great Smoky Mountains National Park,66,Amphibian,Longtail Salamander,
8410,Eurycea longicauda longicauda,Yellowstone National Park,258,Amphibian,Longtail Salamander,
8411,Eurycea longicauda longicauda,Yosemite National Park,147,Amphibian,Longtail Salamander,
8412,Eurycea lucifuga,Bryce National Park,67,Amphibian,Cave Salamander,
8413,Eurycea lucifuga,Great Smoky Mountains National Park,58,Amphibian,Cave Salamander,
8414,Eurycea lucifuga,Yellowstone National Park,236,Amphibian,Cave Salamander,
8415,Eurycea lucifuga,Yosemite National Park,159,Amphibian,Cave Salamander,
8416,Eurycea wilderae,Bryce National Park,105,Amphibian,Blue Ridge Two-Lined Salamander,
8417,Eurycea wilderae,Great Smoky Mountains National Park,54,Amphibian,Blue Ridge Two-Lined Salamander,
8418,Eurycea wilderae,Yellowstone National Park,251,Amphibian,Blue Ridge Two-Lined Salamander,
8419,Eurycea wilderae,Yosemite National Park,157,Amphibian,Blue Ridge Two-Lined Salamander,
8420,Euthamia occidentalis,Bryce National Park,78,Vascular Plant,"Western Goldenrod, Western Goldentop",
8421,Euthamia occidentalis,Great Smoky Mountains National Park,74,Vascular Plant,"Western Goldenrod, Western Goldentop",
8422,Euthamia occidentalis,Yellowstone National Park,224,Vascular Plant,"Western Goldenrod, Western Goldentop",
8423,Euthamia occidentalis,Yosemite National Park,128,Vascular Plant,"Western Goldenrod, Western Goldentop",
8424,Fabronia ciliaris,Bryce National Park,111,Nonvascular Plant,Fabronia Moss,
8425,Fabronia ciliaris,Great Smoky Mountains National Park,72,Nonvascular Plant,Fabronia Moss,
8426,Fabronia ciliaris,Yellowstone National Park,214,Nonvascular Plant,Fabronia Moss,
8427,Fabronia ciliaris,Yosemite National Park,146,Nonvascular Plant,Fabronia Moss,
8428,Fabronia ciliaris var. polycarpa,Bryce National Park,85,Nonvascular Plant,Fabronia Moss,
8429,Fabronia ciliaris var. polycarpa,Great Smoky Mountains National Park,62,Nonvascular Plant,Fabronia Moss,
8430,Fabronia ciliaris var. polycarpa,Yellowstone National Park,264,Nonvascular Plant,Fabronia Moss,
8431,Fabronia ciliaris var. polycarpa,Yosemite National Park,137,Nonvascular Plant,Fabronia Moss,
8432,Fagopyrum esculentum,Bryce National Park,74,Vascular Plant,"Buckwheat, Fagopyrum",
8433,Fagopyrum esculentum,Great Smoky Mountains National Park,26,Vascular Plant,"Buckwheat, Fagopyrum",
8434,Fagopyrum esculentum,Yellowstone National Park,255,Vascular Plant,"Buckwheat, Fagopyrum",
8435,Fagopyrum esculentum,Yosemite National Park,153,Vascular Plant,"Buckwheat, Fagopyrum",
8436,Fagopyrum vulgare,Bryce National Park,112,Vascular Plant,Buckwheat,
8437,Fagopyrum vulgare,Great Smoky Mountains National Park,108,Vascular Plant,Buckwheat,
8438,Fagopyrum vulgare,Yellowstone National Park,232,Vascular Plant,Buckwheat,
8439,Fagopyrum vulgare,Yosemite National Park,165,Vascular Plant,Buckwheat,
8440,Fagus grandifolia,Bryce National Park,100,Vascular Plant,American Beech,
8441,Fagus grandifolia,Great Smoky Mountains National Park,71,Vascular Plant,American Beech,
8442,Fagus grandifolia,Yellowstone National Park,221,Vascular Plant,American Beech,
8443,Fagus grandifolia,Yosemite National Park,161,Vascular Plant,American Beech,
8444,Falco columbarius,Bryce National Park,94,Bird,Merlin,Species of Concern
8445,Falco columbarius,Great Smoky Mountains National Park,28,Bird,Merlin,Species of Concern
8446,Falco columbarius,Yellowstone National Park,258,Bird,Merlin,Species of Concern
8447,Falco columbarius,Yosemite National Park,122,Bird,Merlin,Species of Concern
8448,Falco mexicanus,Bryce National Park,116,Bird,Prairie Falcon,Species of Concern
8449,Falco mexicanus,Great Smoky Mountains National Park,55,Bird,Prairie Falcon,Species of Concern
8450,Falco mexicanus,Yellowstone National Park,200,Bird,Prairie Falcon,Species of Concern
8451,Falco mexicanus,Yosemite National Park,121,Bird,Prairie Falcon,Species of Concern
8452,Falco peregrinus,Bryce National Park,100,Bird,Peregrine Falcon,Species of Concern
8453,Falco peregrinus,Great Smoky Mountains National Park,38,Bird,Peregrine Falcon,Species of Concern
8454,Falco peregrinus,Yellowstone National Park,232,Bird,Peregrine Falcon,Species of Concern
8455,Falco peregrinus,Yosemite National Park,112,Bird,Peregrine Falcon,Species of Concern
8456,Falco peregrinus anatum,Bryce National Park,72,Bird,American Peregrine Falcon,In Recovery
8457,Falco peregrinus anatum,Great Smoky Mountains National Park,70,Bird,American Peregrine Falcon,In Recovery
8458,Falco peregrinus anatum,Yellowstone National Park,176,Bird,American Peregrine Falcon,In Recovery
8459,Falco peregrinus anatum,Yosemite National Park,152,Bird,American Peregrine Falcon,In Recovery
8460,Falco sparverius,Bryce National Park,102,Bird,American Kestrel,
8461,Falco sparverius,Great Smoky Mountains National Park,54,Bird,American Kestrel,
8462,Falco sparverius,Yellowstone National Park,211,Bird,American Kestrel,
8463,Falco sparverius,Yosemite National Park,126,Bird,American Kestrel,
8464,Felis concolor,Bryce National Park,65,Mammal,Mountain Lion,
8465,Felis concolor,Great Smoky Mountains National Park,72,Mammal,Mountain Lion,
8466,Felis concolor,Yellowstone National Park,284,Mammal,Mountain Lion,
8467,Felis concolor,Yosemite National Park,146,Mammal,Mountain Lion,
8468,Felis silvestris,Bryce National Park,103,Mammal,"Wild Cat, Wildcat",
8469,Felis silvestris,Great Smoky Mountains National Park,61,Mammal,"Wild Cat, Wildcat",
8470,Felis silvestris,Yellowstone National Park,259,Mammal,"Wild Cat, Wildcat",
8471,Felis silvestris,Yosemite National Park,150,Mammal,"Wild Cat, Wildcat",
8472,Festuca arundinacea,Bryce National Park,98,Vascular Plant,"Alta Fescue, Coarse Fescue, Reed Fescue, Tall Fescue",
8473,Festuca arundinacea,Great Smoky Mountains National Park,57,Vascular Plant,"Alta Fescue, Coarse Fescue, Reed Fescue, Tall Fescue",
8474,Festuca arundinacea,Yellowstone National Park,218,Vascular Plant,"Alta Fescue, Coarse Fescue, Reed Fescue, Tall Fescue",
8475,Festuca arundinacea,Yosemite National Park,153,Vascular Plant,"Alta Fescue, Coarse Fescue, Reed Fescue, Tall Fescue",
8476,Festuca baffinensis,Bryce National Park,124,Vascular Plant,Baffin Fescue,
8477,Festuca baffinensis,Great Smoky Mountains National Park,26,Vascular Plant,Baffin Fescue,
8478,Festuca baffinensis,Yellowstone National Park,278,Vascular Plant,Baffin Fescue,
8479,Festuca baffinensis,Yosemite National Park,100,Vascular Plant,Baffin Fescue,
8480,Festuca brachyphylla,Bryce National Park,121,Vascular Plant,Alpine Fescue,
8481,Festuca brachyphylla,Great Smoky Mountains National Park,66,Vascular Plant,Alpine Fescue,
8482,Festuca brachyphylla,Yellowstone National Park,256,Vascular Plant,Alpine Fescue,
8483,Festuca brachyphylla,Yosemite National Park,133,Vascular Plant,Alpine Fescue,
8484,Festuca brachyphylla ssp. breviculmis,Bryce National Park,106,Vascular Plant,Alpine Fescue,
8485,Festuca brachyphylla ssp. breviculmis,Great Smoky Mountains National Park,65,Vascular Plant,Alpine Fescue,
8486,Festuca brachyphylla ssp. breviculmis,Yellowstone National Park,275,Vascular Plant,Alpine Fescue,
8487,Festuca brachyphylla ssp. breviculmis,Yosemite National Park,167,Vascular Plant,Alpine Fescue,
8488,Festuca filiformis,Bryce National Park,68,Vascular Plant,Fineleaf Sheep Fescue,
8489,Festuca filiformis,Great Smoky Mountains National Park,79,Vascular Plant,Fineleaf Sheep Fescue,
8490,Festuca filiformis,Yellowstone National Park,240,Vascular Plant,Fineleaf Sheep Fescue,
8491,Festuca filiformis,Yosemite National Park,177,Vascular Plant,Fineleaf Sheep Fescue,
8492,Festuca idahoensis,Bryce National Park,102,Vascular Plant,Idaho Fescue,
8493,Festuca idahoensis,Great Smoky Mountains National Park,106,Vascular Plant,Idaho Fescue,
8494,Festuca idahoensis,Yellowstone National Park,239,Vascular Plant,Idaho Fescue,
8495,Festuca idahoensis,Yosemite National Park,164,Vascular Plant,Idaho Fescue,
8496,Festuca minutiflora,Bryce National Park,88,Vascular Plant,"Smallflower Fescue, Small-Flower Fescue",
8497,Festuca minutiflora,Great Smoky Mountains National Park,74,Vascular Plant,"Smallflower Fescue, Small-Flower Fescue",
8498,Festuca minutiflora,Yellowstone National Park,286,Vascular Plant,"Smallflower Fescue, Small-Flower Fescue",
8499,Festuca minutiflora,Yosemite National Park,116,Vascular Plant,"Smallflower Fescue, Small-Flower Fescue",
8500,Festuca occidentalis,Bryce National Park,87,Vascular Plant,Western Fescue,
8501,Festuca occidentalis,Great Smoky Mountains National Park,69,Vascular Plant,Western Fescue,
8502,Festuca occidentalis,Yellowstone National Park,246,Vascular Plant,Western Fescue,
8503,Festuca occidentalis,Yosemite National Park,150,Vascular Plant,Western Fescue,
8504,Festuca ovina,Bryce National Park,100,Vascular Plant,Ovina Fescue,
8505,Festuca ovina,Great Smoky Mountains National Park,98,Vascular Plant,Ovina Fescue,
8506,Festuca ovina,Yellowstone National Park,250,Vascular Plant,Ovina Fescue,
8507,Festuca ovina,Yosemite National Park,150,Vascular Plant,Ovina Fescue,
8508,Festuca paradoxa,Bryce National Park,109,Vascular Plant,Clustered Fescue,
8509,Festuca paradoxa,Great Smoky Mountains National Park,83,Vascular Plant,Clustered Fescue,
8510,Festuca paradoxa,Yellowstone National Park,262,Vascular Plant,Clustered Fescue,
8511,Festuca paradoxa,Yosemite National Park,142,Vascular Plant,Clustered Fescue,
8512,Festuca rubra,Bryce National Park,188,Vascular Plant,"Ravine Fescue, Red Fescue",
8513,Festuca rubra,Great Smoky Mountains National Park,141,Vascular Plant,"Ravine Fescue, Red Fescue",
8514,Festuca rubra,Yellowstone National Park,501,Vascular Plant,"Ravine Fescue, Red Fescue",
8515,Festuca rubra,Yosemite National Park,288,Vascular Plant,"Ravine Fescue, Red Fescue",
8516,Festuca saximontana,Bryce National Park,76,Vascular Plant,"Mountain Fescue, Rocky Mountain Fescue",
8517,Festuca saximontana,Great Smoky Mountains National Park,71,Vascular Plant,"Mountain Fescue, Rocky Mountain Fescue",
8518,Festuca saximontana,Yellowstone National Park,265,Vascular Plant,"Mountain Fescue, Rocky Mountain Fescue",
8519,Festuca saximontana,Yosemite National Park,121,Vascular Plant,"Mountain Fescue, Rocky Mountain Fescue",
8520,Festuca saximontana var. purpusiana,Bryce National Park,63,Vascular Plant,Rocky Mountain Fescue,
8521,Festuca saximontana var. purpusiana,Great Smoky Mountains National Park,110,Vascular Plant,Rocky Mountain Fescue,
8522,Festuca saximontana var. purpusiana,Yellowstone National Park,236,Vascular Plant,Rocky Mountain Fescue,
8523,Festuca saximontana var. purpusiana,Yosemite National Park,172,Vascular Plant,Rocky Mountain Fescue,
8524,Festuca subulata,Bryce National Park,64,Vascular Plant,"Bearded Fescue, Nodding Fescue",
8525,Festuca subulata,Great Smoky Mountains National Park,141,Vascular Plant,"Bearded Fescue, Nodding Fescue",
8526,Festuca subulata,Yellowstone National Park,268,Vascular Plant,"Bearded Fescue, Nodding Fescue",
8527,Festuca subulata,Yosemite National Park,158,Vascular Plant,"Bearded Fescue, Nodding Fescue",
8528,Festuca subverticillata,Bryce National Park,98,Vascular Plant,"Nodding Fescue, Woodland Fescue",
8529,Festuca subverticillata,Great Smoky Mountains National Park,101,Vascular Plant,"Nodding Fescue, Woodland Fescue",
8530,Festuca subverticillata,Yellowstone National Park,230,Vascular Plant,"Nodding Fescue, Woodland Fescue",
8531,Festuca subverticillata,Yosemite National Park,100,Vascular Plant,"Nodding Fescue, Woodland Fescue",
8532,Filago gallica,Bryce National Park,90,Vascular Plant,Narrowleaf Cottonrose,
8533,Filago gallica,Great Smoky Mountains National Park,46,Vascular Plant,Narrowleaf Cottonrose,
8534,Filago gallica,Yellowstone National Park,258,Vascular Plant,Narrowleaf Cottonrose,
8535,Filago gallica,Yosemite National Park,176,Vascular Plant,Narrowleaf Cottonrose,
8536,Filipendula rubra,Bryce National Park,62,Vascular Plant,"Queen Of The Prairie, Queen-Of-The-Prairie",
8537,Filipendula rubra,Great Smoky Mountains National Park,79,Vascular Plant,"Queen Of The Prairie, Queen-Of-The-Prairie",
8538,Filipendula rubra,Yellowstone National Park,252,Vascular Plant,"Queen Of The Prairie, Queen-Of-The-Prairie",
8539,Filipendula rubra,Yosemite National Park,145,Vascular Plant,"Queen Of The Prairie, Queen-Of-The-Prairie",
8540,Fimbristylis autumnalis,Bryce National Park,126,Vascular Plant,"Autumn Fimbristylis, Slender Fimbry",
8541,Fimbristylis autumnalis,Great Smoky Mountains National Park,91,Vascular Plant,"Autumn Fimbristylis, Slender Fimbry",
8542,Fimbristylis autumnalis,Yellowstone National Park,208,Vascular Plant,"Autumn Fimbristylis, Slender Fimbry",
8543,Fimbristylis autumnalis,Yosemite National Park,140,Vascular Plant,"Autumn Fimbristylis, Slender Fimbry",
8544,Fimbristylis tomentosa,Bryce National Park,110,Vascular Plant,Woolly Fimbry,
8545,Fimbristylis tomentosa,Great Smoky Mountains National Park,78,Vascular Plant,Woolly Fimbry,
8546,Fimbristylis tomentosa,Yellowstone National Park,252,Vascular Plant,Woolly Fimbry,
8547,Fimbristylis tomentosa,Yosemite National Park,115,Vascular Plant,Woolly Fimbry,
8548,Fissidens bryoides,Bryce National Park,124,Nonvascular Plant,Bryoid Fissidens Moss,
8549,Fissidens bryoides,Great Smoky Mountains National Park,73,Nonvascular Plant,Bryoid Fissidens Moss,
8550,Fissidens bryoides,Yellowstone National Park,249,Nonvascular Plant,Bryoid Fissidens Moss,
8551,Fissidens bryoides,Yosemite National Park,142,Nonvascular Plant,Bryoid Fissidens Moss,
8552,Fissidens bushii,Bryce National Park,119,Nonvascular Plant,Bush's Fissidens Moss,
8553,Fissidens bushii,Great Smoky Mountains National Park,51,Nonvascular Plant,Bush's Fissidens Moss,
8554,Fissidens bushii,Yellowstone National Park,234,Nonvascular Plant,Bush's Fissidens Moss,
8555,Fissidens bushii,Yosemite National Park,162,Nonvascular Plant,Bush's Fissidens Moss,
8556,Fissidens exilis,Bryce National Park,102,Nonvascular Plant,Fissidens Moss,
8557,Fissidens exilis,Great Smoky Mountains National Park,105,Nonvascular Plant,Fissidens Moss,
8558,Fissidens exilis,Yellowstone National Park,243,Nonvascular Plant,Fissidens Moss,
8559,Fissidens exilis,Yosemite National Park,127,Nonvascular Plant,Fissidens Moss,
8560,Fissidens hyalinus,Bryce National Park,94,Nonvascular Plant,Fissidens Moss,
8561,Fissidens hyalinus,Great Smoky Mountains National Park,57,Nonvascular Plant,Fissidens Moss,
8562,Fissidens hyalinus,Yellowstone National Park,227,Nonvascular Plant,Fissidens Moss,
8563,Fissidens hyalinus,Yosemite National Park,152,Nonvascular Plant,Fissidens Moss,
8564,Fissidens osmundioides,Bryce National Park,133,Nonvascular Plant,Osmund Fissidens Moss,
8565,Fissidens osmundioides,Great Smoky Mountains National Park,62,Nonvascular Plant,Osmund Fissidens Moss,
8566,Fissidens osmundioides,Yellowstone National Park,267,Nonvascular Plant,Osmund Fissidens Moss,
8567,Fissidens osmundioides,Yosemite National Park,177,Nonvascular Plant,Osmund Fissidens Moss,
8568,Fissidens subbasilaris,Bryce National Park,108,Nonvascular Plant,Fissidens Moss,
8569,Fissidens subbasilaris,Great Smoky Mountains National Park,76,Nonvascular Plant,Fissidens Moss,
8570,Fissidens subbasilaris,Yellowstone National Park,254,Nonvascular Plant,Fissidens Moss,
8571,Fissidens subbasilaris,Yosemite National Park,167,Nonvascular Plant,Fissidens Moss,
8572,Fissidens taxifolius,Bryce National Park,87,Nonvascular Plant,Fissidens Moss,
8573,Fissidens taxifolius,Great Smoky Mountains National Park,76,Nonvascular Plant,Fissidens Moss,
8574,Fissidens taxifolius,Yellowstone National Park,257,Nonvascular Plant,Fissidens Moss,
8575,Fissidens taxifolius,Yosemite National Park,115,Nonvascular Plant,Fissidens Moss,
8576,Fleischmannia incarnata,Bryce National Park,96,Vascular Plant,Pink Thoroughwort,
8577,Fleischmannia incarnata,Great Smoky Mountains National Park,51,Vascular Plant,Pink Thoroughwort,
8578,Fleischmannia incarnata,Yellowstone National Park,227,Vascular Plant,Pink Thoroughwort,
8579,Fleischmannia incarnata,Yosemite National Park,156,Vascular Plant,Pink Thoroughwort,
8580,Floerkea proserpinacoides,Bryce National Park,96,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",
8581,Floerkea proserpinacoides,Great Smoky Mountains National Park,17,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",
8582,Floerkea proserpinacoides,Yellowstone National Park,235,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",
8583,Floerkea proserpinacoides,Yosemite National Park,131,Vascular Plant,"False Mermaidweed, False Mermaid-Weed",
8584,Foeniculum vulgare,Bryce National Park,141,Vascular Plant,Sweet Fennel,
8585,Foeniculum vulgare,Great Smoky Mountains National Park,97,Vascular Plant,Sweet Fennel,
8586,Foeniculum vulgare,Yellowstone National Park,253,Vascular Plant,Sweet Fennel,
8587,Foeniculum vulgare,Yosemite National Park,172,Vascular Plant,Sweet Fennel,
8588,Fontinalis,Bryce National Park,113,Nonvascular Plant,Fontinalis Moss,
8589,Fontinalis,Great Smoky Mountains National Park,62,Nonvascular Plant,Fontinalis Moss,
8590,Fontinalis,Yellowstone National Park,273,Nonvascular Plant,Fontinalis Moss,
8591,Fontinalis,Yosemite National Park,148,Nonvascular Plant,Fontinalis Moss,
8592,Fontinalis dalecarlica,Bryce National Park,72,Nonvascular Plant,Fontinalis Moss,
8593,Fontinalis dalecarlica,Great Smoky Mountains National Park,86,Nonvascular Plant,Fontinalis Moss,
8594,Fontinalis dalecarlica,Yellowstone National Park,239,Nonvascular Plant,Fontinalis Moss,
8595,Fontinalis dalecarlica,Yosemite National Park,154,Nonvascular Plant,Fontinalis Moss,
8596,Fontinalis flaccida,Bryce National Park,88,Nonvascular Plant,Flaccid Fontinalis Moss,
8597,Fontinalis flaccida,Great Smoky Mountains National Park,68,Nonvascular Plant,Flaccid Fontinalis Moss,
8598,Fontinalis flaccida,Yellowstone National Park,263,Nonvascular Plant,Flaccid Fontinalis Moss,
8599,Fontinalis flaccida,Yosemite National Park,150,Nonvascular Plant,Flaccid Fontinalis Moss,
8600,Fontinalis novae-angliae,Bryce National Park,79,Nonvascular Plant,New England Fontinalis Moss,
8601,Fontinalis novae-angliae,Great Smoky Mountains National Park,94,Nonvascular Plant,New England Fontinalis Moss,
8602,Fontinalis novae-angliae,Yellowstone National Park,247,Nonvascular Plant,New England Fontinalis Moss,
8603,Fontinalis novae-angliae,Yosemite National Park,123,Nonvascular Plant,New England Fontinalis Moss,
8604,Fontinalis novae-angliae var. novae-angliae,Bryce National Park,96,Nonvascular Plant,New England Fontinalis Moss,
8605,Fontinalis novae-angliae var. novae-angliae,Great Smoky Mountains National Park,88,Nonvascular Plant,New England Fontinalis Moss,
8606,Fontinalis novae-angliae var. novae-angliae,Yellowstone National Park,232,Nonvascular Plant,New England Fontinalis Moss,
8607,Fontinalis novae-angliae var. novae-angliae,Yosemite National Park,142,Nonvascular Plant,New England Fontinalis Moss,
8608,Fontinalis sullivantii,Bryce National Park,97,Nonvascular Plant,Sullivant's Fontinalis Moss,
8609,Fontinalis sullivantii,Great Smoky Mountains National Park,103,Nonvascular Plant,Sullivant's Fontinalis Moss,
8610,Fontinalis sullivantii,Yellowstone National Park,244,Nonvascular Plant,Sullivant's Fontinalis Moss,
8611,Fontinalis sullivantii,Yosemite National Park,159,Nonvascular Plant,Sullivant's Fontinalis Moss,
8612,Forsstroemia trichomitria,Bryce National Park,117,Nonvascular Plant,Forsstroemia Moss,
8613,Forsstroemia trichomitria,Great Smoky Mountains National Park,33,Nonvascular Plant,Forsstroemia Moss,
8614,Forsstroemia trichomitria,Yellowstone National Park,300,Nonvascular Plant,Forsstroemia Moss,
8615,Forsstroemia trichomitria,Yosemite National Park,140,Nonvascular Plant,Forsstroemia Moss,
8616,Forsythia suspensa,Bryce National Park,97,Vascular Plant,"Forsythia, Weeping Forsythia",
8617,Forsythia suspensa,Great Smoky Mountains National Park,104,Vascular Plant,"Forsythia, Weeping Forsythia",
8618,Forsythia suspensa,Yellowstone National Park,292,Vascular Plant,"Forsythia, Weeping Forsythia",
8619,Forsythia suspensa,Yosemite National Park,145,Vascular Plant,"Forsythia, Weeping Forsythia",
8620,Forsythia viridissima,Bryce National Park,98,Vascular Plant,"Forsythia, Green-Stem Forsythia",
8621,Forsythia viridissima,Great Smoky Mountains National Park,94,Vascular Plant,"Forsythia, Green-Stem Forsythia",
8622,Forsythia viridissima,Yellowstone National Park,243,Vascular Plant,"Forsythia, Green-Stem Forsythia",
8623,Forsythia viridissima,Yosemite National Park,143,Vascular Plant,"Forsythia, Green-Stem Forsythia",
8624,Fothergilla major,Bryce National Park,102,Vascular Plant,"Mountain Witchalder, Mountain Witch-Alder",
8625,Fothergilla major,Great Smoky Mountains National Park,85,Vascular Plant,"Mountain Witchalder, Mountain Witch-Alder",
8626,Fothergilla major,Yellowstone National Park,229,Vascular Plant,"Mountain Witchalder, Mountain Witch-Alder",
8627,Fothergilla major,Yosemite National Park,141,Vascular Plant,"Mountain Witchalder, Mountain Witch-Alder",
8628,Fragaria vesca,Bryce National Park,179,Vascular Plant,Thin-Leaved Strawberry,
8629,Fragaria vesca,Great Smoky Mountains National Park,182,Vascular Plant,Thin-Leaved Strawberry,
8630,Fragaria vesca,Yellowstone National Park,492,Vascular Plant,Thin-Leaved Strawberry,
8631,Fragaria vesca,Yosemite National Park,305,Vascular Plant,Thin-Leaved Strawberry,
8632,Fragaria virginiana,Bryce National Park,211,Vascular Plant,"Thickleaved Wild Strawberry, Virginia Strawberry, Wild Strawberry",
